Loading data
Number of tasks = 13
Fold 0
Splitting data with seed 0
Class sizes
G1 0: 96.70%, 1: 3.30%
G2 0: 97.37%, 1: 2.63%
G3 0: 96.61%, 1: 3.39%
G4 0: 95.81%, 1: 4.19%
G5 0: 95.92%, 1: 4.08%
G6 0: 96.50%, 1: 3.50%
G7 0: 95.89%, 1: 4.11%
G8 0: 96.01%, 1: 3.99%
G9 0: 96.67%, 1: 3.33%
G10 0: 96.67%, 1: 3.33%
G11 0: 93.72%, 1: 6.28%
G12 0: 96.58%, 1: 3.42%
G13 0: 94.79%, 1: 5.21%
Total size = 37,773 | train size = 37,773 | val size = 4,721 | test size = 4,723
Building model 0
MoleculeModel(
  (sigmoid): Sigmoid()
  (encoder): MPN()
  (ffn): Sequential(
    (0): Dropout(p=0.25, inplace=False)
    (1): Linear(in_features=200, out_features=1400, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.25, inplace=False)
    (4): Linear(in_features=1400, out_features=13, bias=True)
  )
)
Number of parameters = 299,613
Moving model to cuda
Epoch 0
Loss = 1.3839e-01, PNorm = 21.4508, GNorm = 0.0995, lr_0 = 9.9533e-04
Loss = 1.4410e-01, PNorm = 21.5054, GNorm = 0.1546, lr_0 = 9.9424e-04
Loss = 1.8159e-01, PNorm = 21.5060, GNorm = 0.1238, lr_0 = 9.9316e-04
Loss = 1.4864e-01, PNorm = 21.5481, GNorm = 0.0871, lr_0 = 9.9208e-04
Loss = 2.0230e-01, PNorm = 21.5334, GNorm = 0.1178, lr_0 = 9.9100e-04
Loss = 1.9321e-01, PNorm = 21.5682, GNorm = 0.1083, lr_0 = 9.8992e-04
Loss = 1.9947e-01, PNorm = 21.6097, GNorm = 0.1372, lr_0 = 9.8884e-04
Loss = 1.5145e-01, PNorm = 21.6360, GNorm = 0.1146, lr_0 = 9.8777e-04
Loss = 1.7307e-01, PNorm = 21.6710, GNorm = 0.0964, lr_0 = 9.8669e-04
Loss = 1.2973e-01, PNorm = 21.7170, GNorm = 0.1159, lr_0 = 9.8562e-04
Loss = 1.9818e-01, PNorm = 21.7535, GNorm = 0.1861, lr_0 = 9.8455e-04
Loss = 1.4521e-01, PNorm = 21.7914, GNorm = 0.0930, lr_0 = 9.8347e-04
Loss = 1.3253e-01, PNorm = 21.8242, GNorm = 0.1486, lr_0 = 9.8240e-04
Loss = 1.6221e-01, PNorm = 21.8164, GNorm = 0.1457, lr_0 = 9.8133e-04
Loss = 1.4751e-01, PNorm = 21.8898, GNorm = 0.1911, lr_0 = 9.8026e-04
